what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312210398508
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312210398528
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312210400702
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312210402396
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312210428578
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1312210432741
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1312210436644
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312210437921
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312210438741
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312210440074
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312210459137
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1312210462105
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1312210464726
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1312210468204
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312210469028
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312210469434
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1312210471244
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1312210481009
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1312210481689
